codigo;municipio;tipo_variavel;2017;2018;2019;2020;2021;2022
330010;ANGRA DOS REIS;mortalidade_geral;1045;1156;1153;1362;1375;1173
330015;APERIBE;mortalidade_geral;90;99;64;100;120;114
330020;ARARUAMA;mortalidade_geral;1113;1048;1135;1247;1595;1290
330022;AREAL;mortalidade_geral;97;101;106;109;150;120
330023;ARMACAO DOS BUZIOS;mortalidade_geral;237;249;265;296;372;291
330025;ARRAIAL DO CABO;mortalidade_geral;279;266;243;319;370;280
330030;BARRA DO PIRAI;mortalidade_geral;806;866;808;983;1114;893
330040;BARRA MANSA;mortalidade_geral;1528;1441;1538;1838;1997;1640
330045;BELFORD ROXO;mortalidade_geral;3589;3683;3748;4377;4927;3768
330050;BOM JARDIM;mortalidade_geral;225;233;207;245;297;236
330060;BOM JESUS DO ITABAPOANA;mortalidade_geral;332;320;397;397;467;390
330070;CABO FRIO;mortalidade_geral;1416;1443;1515;1925;2162;1710
330080;CACHOEIRAS DE MACACU;mortalidade_geral;467;441;463;554;608;508
330090;CAMBUCI;mortalidade_geral;168;127;140;159;172;164
330093;CARAPEBUS;mortalidade_geral;80;83;89;113;96;104
330095;COMENDADOR LEVY GASPARIAN;mortalidade_geral;77;76;76;86;93;72
330100;CAMPOS DOS GOYTACAZES;mortalidade_geral;3956;4143;4299;4831;5635;4608
330110;CANTAGALO;mortalidade_geral;147;168;193;180;248;176
330115;CARDOSO MOREIRA;mortalidade_geral;100;110;108;157;150;126
330120;CARMO;mortalidade_geral;136;149;162;166;224;195
330130;CASIMIRO DE ABREU;mortalidade_geral;277;254;246;334;410;296
330140;CONCEICAO DE MACABU;mortalidade_geral;175;162;160;178;218;168
330150;CORDEIRO;mortalidade_geral;162;144;156;175;249;197
330160;DUAS BARRAS;mortalidade_geral;72;88;69;102;107;119
330170;DUQUE DE CAXIAS;mortalidade_geral;6591;6814;7205;9100;9872;7569
330180;ENGENHEIRO PAULO DE FRONTIN;mortalidade_geral;127;129;129;138;201;151
330185;GUAPIMIRIM;mortalidade_geral;412;413;427;509;587;479
330187;IGUABA GRANDE;mortalidade_geral;243;245;277;322;424;311
330190;ITABORAI;mortalidade_geral;1818;2007;1953;2233;2557;2050
330200;ITAGUAI;mortalidade_geral;1062;1091;1018;1247;1308;1115
330205;ITALVA;mortalidade_geral;130;122;134;167;157;136
330210;ITAOCARA;mortalidade_geral;233;232;220;294;329;290
330220;ITAPERUNA;mortalidade_geral;848;791;914;990;1053;957
330225;ITATIAIA;mortalidade_geral;231;217;213;242;285;234
330227;JAPERI;mortalidade_geral;638;707;713;828;947;787
330230;LAJE DO MURIAE;mortalidade_geral;58;65;86;101;90;80
330240;MACAE;mortalidade_geral;1327;1357;1391;1649;1962;1525
330245;MACUCO;mortalidade_geral;54;65;64;76;105;80
330250;MAGE;mortalidade_geral;2060;2223;2142;2537;2832;2256
330260;MANGARATIBA;mortalidade_geral;340;353;363;479;550;367
330270;MARICA;mortalidade_geral;1162;1240;1347;1737;2110;1663
330280;MENDES;mortalidade_geral;164;180;192;213;262;203
330285;MESQUITA;mortalidade_geral;1405;1428;1428;1800;2000;1533
330290;MIGUEL PEREIRA;mortalidade_geral;227;271;270;321;331;308
330300;MIRACEMA;mortalidade_geral;255;250;259;267;366;263
330310;NATIVIDADE;mortalidade_geral;115;126;161;152;173;167
330320;NILOPOLIS;mortalidade_geral;1512;1435;1520;1887;2053;1510
330330;NITEROI;mortalidade_geral;4597;4832;4780;5981;6409;5226
330340;NOVA FRIBURGO;mortalidade_geral;1566;1703;1620;1848;2280;1841
330350;NOVA IGUACU;mortalidade_geral;6426;6536;6770;8310;9151;7416
330360;PARACAMBI;mortalidade_geral;388;430;386;487;600;397
330370;PARAIBA DO SUL;mortalidade_geral;375;352;397;439;499;424
330380;PARATY;mortalidade_geral;256;285;266;309;383;298
330385;PATY DO ALFERES;mortalidade_geral;224;245;219;277;362;216
330390;PETROPOLIS;mortalidade_geral;2781;2938;2900;3160;4008;3260
330395;PINHEIRAL;mortalidade_geral;198;172;171;178;256;182
330400;PIRAI;mortalidade_geral;202;216;234;259;282;258
330410;PORCIUNCULA;mortalidade_geral;137;120;147;169;160;157
330411;PORTO REAL;mortalidade_geral;154;128;141;164;209;157
330412;QUATIS;mortalidade_geral;98;111;91;86;111;135
330414;QUEIMADOS;mortalidade_geral;1312;1229;1289;1414;1588;1264
330415;QUISSAMA;mortalidade_geral;161;161;167;181;264;183
330420;RESENDE;mortalidade_geral;888;926;946;1129;1292;1033
330430;RIO BONITO;mortalidade_geral;424;449;468;523;650;466
330440;RIO CLARO;mortalidade_geral;147;138;142;146;196;175
330450;RIO DAS FLORES;mortalidade_geral;85;67;69;64;85;76
330452;RIO DAS OSTRAS;mortalidade_geral;803;867;877;1057;1331;982
330455;RIO DE JANEIRO;mortalidade_geral;55382;57244;59706;71303;74768;59237
330460;SANTA MARIA MADALENA;mortalidade_geral;101;80;76;83;98;89
330470;SANTO ANTONIO DE PADUA;mortalidade_geral;403;381;393;438;525;428
330475;SAO FRANCISCO DE ITABAPOANA;mortalidade_geral;322;349;379;405;543;399
330480;SAO FIDELIS;mortalidade_geral;305;317;324;406;478;411
330490;SAO GONCALO;mortalidade_geral;7843;8060;7795;9698;10424;8414
330500;SAO JOAO DA BARRA;mortalidade_geral;348;288;337;419;522;400
330510;SAO JOAO DE MERITI;mortalidade_geral;3688;3778;3926;4816;5112;4048
330513;SAO JOSE DE UBA;mortalidade_geral;51;59;64;73;83;67
330515;SAO JOSE DO VALE DO RIO PRETO;mortalidade_geral;145;176;156;204;237;171
330520;SAO PEDRO DA ALDEIA;mortalidade_geral;708;757;775;891;1079;776
330530;SAO SEBASTIAO DO ALTO;mortalidade_geral;72;74;87;101;100;83
330540;SAPUCAIA;mortalidade_geral;133;158;145;187;214;166
330550;SAQUAREMA;mortalidade_geral;691;691;727;883;1094;881
330555;SEROPEDICA;mortalidade_geral;642;593;583;691;891;713
330560;SILVA JARDIM;mortalidade_geral;166;181;160;202;243;178
330570;SUMIDOURO;mortalidade_geral;95;101;98;133;165;107
330575;TANGUA;mortalidade_geral;238;251;275;317;339;274
330580;TERESOPOLIS;mortalidade_geral;1373;1483;1449;1665;2056;1679
330590;TRAJANO DE MORAES;mortalidade_geral;84;78;77;83;94;78
330600;TRES RIOS;mortalidade_geral;694;692;783;824;933;802
330610;VALENCA;mortalidade_geral;669;631;705;689;875;766
330615;VARRE-SAI;mortalidade_geral;71;66;63;85;81;88
330620;VASSOURAS;mortalidade_geral;331;315;343;373;486;412
330630;VOLTA REDONDA;mortalidade_geral;2081;2279;2369;2704;3202;2587
