codigo;municipio;tipo_variavel;2017;2018;2019;2020;2021;2022
330010;ANGRA DOS REIS;nascidos_vivos;2556;2558;2304;2290;2087;2042
330015;APERIBE;nascidos_vivos;120;107;115;65;105;119
330020;ARARUAMA;nascidos_vivos;278;308;253;818;1428;1330
330022;AREAL;nascidos_vivos;-;3;2;1;4;-
330023;ARMACAO DOS BUZIOS;nascidos_vivos;623;563;681;583;605;574
330025;ARRAIAL DO CABO;nascidos_vivos;337;247;317;252;288;295
330030;BARRA DO PIRAI;nascidos_vivos;636;693;695;675;719;591
330040;BARRA MANSA;nascidos_vivos;1863;1936;1718;1760;1588;1639
330045;BELFORD ROXO;nascidos_vivos;1146;2501;3158;3766;3865;3900
330050;BOM JARDIM;nascidos_vivos;186;418;407;417;415;389
330060;BOM JESUS DO ITABAPOANA;nascidos_vivos;518;569;563;645;800;859
330070;CABO FRIO;nascidos_vivos;2452;2537;2108;2150;2112;2030
330080;CACHOEIRAS DE MACACU;nascidos_vivos;640;590;522;526;447;418
330090;CAMBUCI;nascidos_vivos;109;97;115;80;88;101
330093;CARAPEBUS;nascidos_vivos;1;1;1;-;-;1
330095;COMENDADOR LEVY GASPARIAN;nascidos_vivos;2;2;-;1;1;-
330100;CAMPOS DOS GOYTACAZES;nascidos_vivos;8653;8546;8372;7937;7879;7359
330110;CANTAGALO;nascidos_vivos;556;601;489;484;397;335
330115;CARDOSO MOREIRA;nascidos_vivos;1;-;-;-;1;-
330120;CARMO;nascidos_vivos;255;238;283;408;244;191
330130;CASIMIRO DE ABREU;nascidos_vivos;633;472;420;532;525;569
330140;CONCEICAO DE MACABU;nascidos_vivos;8;2;2;5;8;2
330150;CORDEIRO;nascidos_vivos;113;20;87;100;117;133
330160;DUAS BARRAS;nascidos_vivos;42;78;92;98;5;35
330170;DUQUE DE CAXIAS;nascidos_vivos;11927;11504;11493;10159;10224;10310
330180;ENGENHEIRO PAULO DE FRONTIN;nascidos_vivos;1;-;3;5;2;3
330185;GUAPIMIRIM;nascidos_vivos;499;331;413;365;497;412
330187;IGUABA GRANDE;nascidos_vivos;1;1;2;1;5;2
330190;ITABORAI;nascidos_vivos;1523;1207;1102;1251;1158;1091
330200;ITAGUAI;nascidos_vivos;809;741;1030;936;945;1071
330205;ITALVA;nascidos_vivos;-;-;1;-;-;-
330210;ITAOCARA;nascidos_vivos;269;295;213;232;227;222
330220;ITAPERUNA;nascidos_vivos;1779;1875;1773;1550;1453;1379
