codigo;municipio;tipo_variavel;2017;2018;2019;2020;2021;2022
330010;ANGRA DOS REIS;obitos_infantis;18;30;22;32;23;29
330015;APERIBE;obitos_infantis;4;3;2;-;2;-
330020;ARARUAMA;obitos_infantis;17;15;21;15;23;19
330022;AREAL;obitos_infantis;7;4;4;-;1;2
330023;ARMACAO DOS BUZIOS;obitos_infantis;8;7;6;9;7;4
330025;ARRAIAL DO CABO;obitos_infantis;5;8;4;3;4;7
330030;BARRA DO PIRAI;obitos_infantis;19;13;13;12;13;10
330040;BARRA MANSA;obitos_infantis;25;16;30;20;19;26
330045;BELFORD ROXO;obitos_infantis;92;101;85;100;93;90
330050;BOM JARDIM;obitos_infantis;4;4;5;4;7;1
330060;BOM JESUS DO ITABAPOANA;obitos_infantis;4;6;9;5;6;6
330070;CABO FRIO;obitos_infantis;43;36;40;26;40;26
330080;CACHOEIRAS DE MACACU;obitos_infantis;9;4;6;10;6;7
330090;CAMBUCI;obitos_infantis;1;3;1;3;2;2
330093;CARAPEBUS;obitos_infantis;2;2;-;-;2;2
330095;COMENDADOR LEVY GASPARIAN;obitos_infantis;1;5;-;2;1;1
330100;CAMPOS DOS GOYTACAZES;obitos_infantis;103;95;104;124;124;121
330110;CANTAGALO;obitos_infantis;1;4;4;4;3;1
330115;CARDOSO MOREIRA;obitos_infantis;1;-;3;3;3;2
330120;CARMO;obitos_infantis;2;4;3;3;-;1
330130;CASIMIRO DE ABREU;obitos_infantis;5;5;4;4;4;6
330140;CONCEICAO DE MACABU;obitos_infantis;2;4;6;4;8;4
330150;CORDEIRO;obitos_infantis;5;4;2;1;2;2
330160;DUAS BARRAS;obitos_infantis;-;-;2;-;-;3
330170;DUQUE DE CAXIAS;obitos_infantis;195;193;201;209;177;172
330180;ENGENHEIRO PAULO DE FRONTIN;obitos_infantis;1;4;4;2;2;4
330185;GUAPIMIRIM;obitos_infantis;7;17;4;5;5;7
330187;IGUABA GRANDE;obitos_infantis;9;9;7;2;3;4
330190;ITABORAI;obitos_infantis;32;37;44;26;35;25
330200;ITAGUAI;obitos_infantis;30;33;29;20;25;17
330205;ITALVA;obitos_infantis;1;-;3;-;1;-
330210;ITAOCARA;obitos_infantis;4;6;3;7;-;3
330220;ITAPERUNA;obitos_infantis;13;11;15;13;8;14
330225;ITATIAIA;obitos_infantis;6;4;5;1;4;8
330227;JAPERI;obitos_infantis;23;17;12;24;20;20
330230;LAJE DO MURIAE;obitos_infantis;1;-;1;-;1;-
330240;MACAE;obitos_infantis;47;43;42;32;38;47
330245;MACUCO;obitos_infantis;1;3;1;2;-;1
330250;MAGE;obitos_infantis;49;61;64;47;42;47
330260;MANGARATIBA;obitos_infantis;5;8;9;8;5;7
330270;MARICA;obitos_infantis;26;18;19;17;24;21
330280;MENDES;obitos_infantis;2;1;-;-;1;2
330285;MESQUITA;obitos_infantis;32;31;29;22;33;24
330290;MIGUEL PEREIRA;obitos_infantis;3;3;4;2;6;2
330300;MIRACEMA;obitos_infantis;4;9;6;-;5;1
