codigo;municipio;tipo_variavel;2017;2018;2019;2020;2021;2022
330010;ANGRA DOS REIS;obitos_60_mais;609;655;688;890;915;740
330015;APERIBE;obitos_60_mais;65;77;50;78;92;92
330020;ARARUAMA;obitos_60_mais;769;723;785;936;1103;965
330022;AREAL;obitos_60_mais;63;61;72;77;101;89
330023;ARMACAO DOS BUZIOS;obitos_60_mais;123;153;162;190;227;185
330025;ARRAIAL DO CABO;obitos_60_mais;179;184;157;238;260;204
330030;BARRA DO PIRAI;obitos_60_mais;566;613;586;705;819;684
330040;BARRA MANSA;obitos_60_mais;1076;1046;1095;1318;1372;1171
330045;BELFORD ROXO;obitos_60_mais;2232;2232;2339;2755;3205;2499
330050;BOM JARDIM;obitos_60_mais;158;175;153;176;207;190
330060;BOM JESUS DO ITABAPOANA;obitos_60_mais;228;235;288;284;339;296
330070;CABO FRIO;obitos_60_mais;897;932;1001;1314;1429;1202
330080;CACHOEIRAS DE MACACU;obitos_60_mais;346;293;313;368;429;365
330090;CAMBUCI;obitos_60_mais;129;91;106;125;125;138
330093;CARAPEBUS;obitos_60_mais;51;59;56;77;66;71
330095;COMENDADOR LEVY GASPARIAN;obitos_60_mais;47;57;59;62;65;57
330100;CAMPOS DOS GOYTACAZES;obitos_60_mais;2623;2759;2971;3374;3904;3250
330110;CANTAGALO;obitos_60_mais;107;112;142;122;179;134
330115;CARDOSO MOREIRA;obitos_60_mais;76;83;77;119;116;97
330120;CARMO;obitos_60_mais;102;100;125;131;179;153
330130;CASIMIRO DE ABREU;obitos_60_mais;178;165;170;245;281;200
330140;CONCEICAO DE MACABU;obitos_60_mais;110;111;95;112;150;112
330150;CORDEIRO;obitos_60_mais;115;102;124;142;182;151
330160;DUAS BARRAS;obitos_60_mais;50;63;45;84;73;93
330170;DUQUE DE CAXIAS;obitos_60_mais;4035;4310;4684;5989;6451;5148
330180;ENGENHEIRO PAULO DE FRONTIN;obitos_60_mais;90;82;90;113;141;122
330185;GUAPIMIRIM;obitos_60_mais;260;254;290;348;408;336
330187;IGUABA GRANDE;obitos_60_mais;181;180;218;254;319;237
330190;ITABORAI;obitos_60_mais;1136;1239;1227;1476;1674;1447
330200;ITAGUAI;obitos_60_mais;639;669;619;805;817;743
330205;ITALVA;obitos_60_mais;102;100;100;135;121;115
