codigo;municipio;tipo_variavel;2017;2018;2019;2020;2021;2022
330010;ANGRA DOS REIS;obitos_fetais;16;22;31;27;30;21
330015;APERIBE;obitos_fetais;2;1;1;3;-;1
330020;ARARUAMA;obitos_fetais;28;21;20;23;23;17
330022;AREAL;obitos_fetais;7;3;3;1;1;1
330023;ARMACAO DOS BUZIOS;obitos_fetais;7;5;8;6;4;4
330025;ARRAIAL DO CABO;obitos_fetais;3;8;3;4;9;7
330030;BARRA DO PIRAI;obitos_fetais;20;16;16;12;4;9
330040;BARRA MANSA;obitos_fetais;19;23;17;25;15;7
330045;BELFORD ROXO;obitos_fetais;143;118;136;120;125;80
330050;BOM JARDIM;obitos_fetais;3;2;2;2;3;1
330060;BOM JESUS DO ITABAPOANA;obitos_fetais;7;8;4;12;8;9
330070;CABO FRIO;obitos_fetais;35;45;45;36;30;28
330080;CACHOEIRAS DE MACACU;obitos_fetais;12;7;9;10;6;5
330090;CAMBUCI;obitos_fetais;1;-;1;3;-;1
330093;CARAPEBUS;obitos_fetais;4;3;4;-;3;2
330095;COMENDADOR LEVY GASPARIAN;obitos_fetais;1;-;1;-;-;1
330100;CAMPOS DOS GOYTACAZES;obitos_fetais;105;98;96;78;86;74
330110;CANTAGALO;obitos_fetais;4;3;3;3;6;2
330115;CARDOSO MOREIRA;obitos_fetais;2;3;4;-;4;1
330120;CARMO;obitos_fetais;4;-;5;2;3;1
330130;CASIMIRO DE ABREU;obitos_fetais;7;9;3;5;6;5
330140;CONCEICAO DE MACABU;obitos_fetais;4;3;4;1;1;5
330150;CORDEIRO;obitos_fetais;1;2;4;5;1;-
330160;DUAS BARRAS;obitos_fetais;2;-;3;2;1;1
330170;DUQUE DE CAXIAS;obitos_fetais;244;239;230;206;227;197
330180;ENGENHEIRO PAULO DE FRONTIN;obitos_fetais;3;2;1;-;3;1
330185;GUAPIMIRIM;obitos_fetais;14;9;10;11;12;7
330187;IGUABA GRANDE;obitos_fetais;3;6;3;4;3;6
330190;ITABORAI;obitos_fetais;40;64;30;44;41;35
330200;ITAGUAI;obitos_fetais;38;23;26;20;26;21
330205;ITALVA;obitos_fetais;-;-;2;-;2;1
330210;ITAOCARA;obitos_fetais;3;2;5;3;4;3
330220;ITAPERUNA;obitos_fetais;6;7;8;12;7;10
330225;ITATIAIA;obitos_fetais;6;3;5;4;6;2
330227;JAPERI;obitos_fetais;14;20;19;19;21;16
330230;LAJE DO MURIAE;obitos_fetais;-;1;2;2;2;-
330240;MACAE;obitos_fetais;39;33;34;29;32;31
330245;MACUCO;obitos_fetais;2;-;2;1;1;1
330250;MAGE;obitos_fetais;62;59;69;54;48;47
330260;MANGARATIBA;obitos_fetais;12;5;5;10;5;3
330270;MARICA;obitos_fetais;23;27;21;29;24;26
330280;MENDES;obitos_fetais;-;6;2;3;3;2
330285;MESQUITA;obitos_fetais;45;28;34;29;34;26
330290;MIGUEL PEREIRA;obitos_fetais;6;6;2;6;7;3
330300;MIRACEMA;obitos_fetais;6;4;6;2;1;5
330310;NATIVIDADE;obitos_fetais;-;2;2;2;1;1
330320;NILOPOLIS;obitos_fetais;36;31;31;23;27;22
330330;NITEROI;obitos_fetais;62;49;56;79;51;47
330340;NOVA FRIBURGO;obitos_fetais;21;22;17;18;15;18
330350;NOVA IGUACU;obitos_fetais;205;184;167;136;143;123
330360;PARACAMBI;obitos_fetais;5;10;7;3;8;4
330370;PARAIBA DO SUL;obitos_fetais;5;4;7;5;4;3
330380;PARATY;obitos_fetais;10;5;8;14;5;9
330385;PATY DO ALFERES;obitos_fetais;3;8;4;4;4;3
330390;PETROPOLIS;obitos_fetais;52;37;46;37;18;28
330395;PINHEIRAL;obitos_fetais;6;2;3;4;2;4
330400;PIRAI;obitos_fetais;3;4;4;2;2;5
330410;PORCIUNCULA;obitos_fetais;3;2;1;1;2;2
330411;PORTO REAL;obitos_fetais;4;5;2;-;4;2
330412;QUATIS;obitos_fetais;2;3;2;-;2;-
330414;QUEIMADOS;obitos_fetais;42;36;39;36;35;40
330415;QUISSAMA;obitos_fetais;2;4;2;4;4;3
330420;RESENDE;obitos_fetais;13;10;8;12;13;9
330430;RIO BONITO;obitos_fetais;10;8;12;7;6;15
330440;RIO CLARO;obitos_fetais;1;3;3;-;3;4
330450;RIO DAS FLORES;obitos_fetais;1;1;-;3;-;2
330452;RIO DAS OSTRAS;obitos_fetais;18;29;16;24;21;15
330455;RIO DE JANEIRO;obitos_fetais;798;824;809;854;772;720
330460;SANTA MARIA MADALENA;obitos_fetais;5;5;1;-;1;-
330470;SANTO ANTONIO DE PADUA;obitos_fetais;8;8;3;5;8;3
330475;SAO FRANCISCO DE ITABAPOANA;obitos_fetais;9;5;10;3;7;3
330480;SAO FIDELIS;obitos_fetais;4;8;2;2;2;4
330490;SAO GONCALO;obitos_fetais;186;165;135;146;144;116
330500;SAO JOAO DA BARRA;obitos_fetais;2;8;3;5;6;5
330510;SAO JOAO DE MERITI;obitos_fetais;116;90;106;97;116;95
330513;SAO JOSE DE UBA;obitos_fetais;-;-;-;-;-;4
330515;SAO JOSE DO VALE DO RIO PRETO;obitos_fetais;4;1;6;2;2;5
330520;SAO PEDRO DA ALDEIA;obitos_fetais;30;12;21;11;16;19
330530;SAO SEBASTIAO DO ALTO;obitos_fetais;4;-;2;2;-;4
330540;SAPUCAIA;obitos_fetais;2;2;2;3;3;1
330550;SAQUAREMA;obitos_fetais;19;20;16;15;9;12
330555;SEROPEDICA;obitos_fetais;12;15;16;9;20;20
330560;SILVA JARDIM;obitos_fetais;2;7;5;3;-;4
330570;SUMIDOURO;obitos_fetais;2;2;1;3;4;3
330575;TANGUA;obitos_fetais;5;6;7;8;10;6
330580;TERESOPOLIS;obitos_fetais;33;22;23;20;23;23
330590;TRAJANO DE MORAES;obitos_fetais;-;-;-;-;-;1
330600;TRES RIOS;obitos_fetais;13;18;9;19;16;17
330610;VALENCA;obitos_fetais;6;11;5;4;5;11
330615;VARRE-SAI;obitos_fetais;2;2;2;1;1;1
330620;VASSOURAS;obitos_fetais;7;9;10;9;4;4
330630;VOLTA REDONDA;obitos_fetais;40;37;24;27;23;20
